locus_radius:0.01,nuclear_radius:1.0,bound_zone_thickness:0.18350341907227397,bound_to_bound:0.7,unbound_to_bound:0.9,dt:0.5,
URA3_FLE_BINDING_COLLISIONrestep
X,Y,is_bound
-0.5882044998223718,-0.7203312626457714,1
-0.5918619230340275,-0.7312392058736096,1
-0.6202721483384284,-0.7420592645676225,1
-0.5766921725743959,-0.737827013055582,0
-0.5930214306505339,-0.689335260418086,0
-0.5986728056385044,-0.5904067710924453,1
-0.5548276980239601,-0.6441988629459527,1
-0.5617463221226098,-0.6676632642060774,1
-0.5220356709805122,-0.6457004404533864,0
-0.5696062721592459,-0.5739932257219952,1
-0.5939738115495775,-0.5966445664217772,0
-0.5134388228566794,-0.5644968958175041,0
-0.6573900238344761,-0.590171560819809,1
-0.6828207450981254,-0.6179698181245163,0
-0.7015634895714163,-0.524023821544269,1
-0.6850805999728656,-0.5709457738235815,1
-0.664731809933313,-0.5357162239635231,1
-0.6870714581171481,-0.5788447578976864,1
-0.7216293947253656,-0.5913168241546984,1
-0.7155375343937586,-0.5785729791487592,1
-0.7642861193518988,-0.5385651754431491,1
-0.7221078732678121,-0.5067876920211924,1
-0.6942365287771064,-0.47303789992416556,1
-0.6694108369691457,-0.48380302506210787,1
-0.7062877784129445,-0.4971346308094728,1
-0.7564075812096389,-0.5018336433522674,1
-0.7075978840281738,-0.5247913195636429,0
-0.7638918404204865,-0.584270746540491,1
-0.7484597956248313,-0.5724686976498697,1
-0.7370659346849525,-0.6150231318507124,0
-0.8280658164338538,-0.4841921298528935,1
-0.8233785034486343,-0.5029161092823164,1
-0.8554539201660013,-0.4660127684890116,1
-0.8695402365343855,-0.4669778133184205,0
-0.7608601360850054,-0.4504075329230714,1
-0.7992704709385509,-0.46561232090756516,0
-0.7283501828033193,-0.4933581579567866,1
-0.7635989987104662,-0.4504649420252389,0
-0.6448418391411396,-0.46499015720775455,0
-0.6890522100600643,-0.5787249633579443,1
-0.6801675935233512,-0.5275785494755055,1
-0.6734658857709027,-0.5593263086932222,1
-0.6697369308345262,-0.5678497883009869,1
-0.6729044421441056,-0.5756679689447172,1
-0.6337306091015794,-0.5609972561259591,0
-0.6374742646054199,-0.48285676289152657,0
-0.6598015251493561,-0.532435595487474,1
-0.7051653745625575,-0.5432957125816064,0
-0.6514577758201666,-0.5807494113516456,1
-0.6077436048765548,-0.542898546489006,0
-0.6557776613282251,-0.6225285274789905,1
-0.6402844309447621,-0.6071894639515492,1
-0.628421115735576,-0.6109948097100757,0
-0.6974075659646681,-0.5907887825700725,1
-0.7040976682214065,-0.6084351898274645,1
-0.7030381585622288,-0.6153145386719051,1
-0.6669027718086163,-0.6159940489518582,0
-0.7791948422793527,-0.6017062038228235,1
-0.7677890070202197,-0.5750094610827903,1
-0.7432680966288464,-0.5825711130925301,0
-0.7311095675273704,-0.5894183095191866,1
-0.7614057521106572,-0.5853524613081293,1
-0.7291733748138571,-0.5807100324378325,1
-0.7263897568450618,-0.6103170936282334,1
-0.6777456035864625,-0.6051857873461879,0
